,method,type,id,sentiment class,review text
2,RPS-$l_2$,Positive 2,3704,1,"THE DEVIL 'S PLAYTHING is my second attempt at a Joseph Sarno production - and although I will say it is far more enjoyable than the painfully dull and unerotic Swedish WILDCATS , it is still a little"
3,RPS-$l_2$,Positive 3,4000,1,"So , Todd Sheets once stated that he considers his 1993 , shot - on - video Z - epic , Zombie Bloodbath to be his first feature film . Anyone who 's ever seen a little beauty called Zombie Rampage kno"
1,Influence function,Positive 1,3342,1,"I barely remember this show , a little , but I remembered it was great ! My eldest brother , reminded me about the show recently and I had seen an advertisement for the D.V.D set coming out . The netw"
2,Influence function,Positive 2,11256,1,"I watched this flick yesterday and I have to say it 's the finest horror film made for $ 36,000 I 've ever seen ( Sorry Steckler ) The film is definitely worth seeking out if you are a zombie fan . Th"
3,Influence function,Positive 3,3957,1,"What an amazing film . With very little dialogue , the whole story is told with glances and body language . Very involving almost voyeuristic . My only gripe is that it has not been released on video "
0, ,Test point,525,1,"I can think of no movie that better captures the concept of grace , in a theological sense . The well - intentioned religiosity of a small congregation , gone awry after the death of their leader , ro"
1,RPS-LJE,Positive 1,14109,1,"I can tell you just how bad this movie is . I was in the movie and I have n't seen it yet , but I cringe at the thought of anyone actually paying to see me drunk . Especially considering what we did t"
2,RPS-LJE,Positive 2,2300,1,"I am one of Jehovah 's Witnesses and I also work in an acute care medical facility . Over the years I have seen people die from hemolytic reactions to blood transfusions , have attended numerous confe"
3,RPS-LJE,Positive 3,6372,1,"I think the film is educational . However , it fails to treat the issue which sparked so much controversy : plural marriage . Also , the film fails to reveal what the LDS church espouses . Big opportu"
1,RPS-$l_2$,Positive 1,9112,1,"Tim Krabbe is the praised author of ' Het Gouden Ei ' , a novel that was put on the screen twice ( ' Spoorloos ' and ' The Vanishing ' ) . One of the Dutch writer 's more recent works is ' De Grot ' ,"
2,RPS-$l_2$,Positive 2,3704,1,"THE DEVIL 'S PLAYTHING is my second attempt at a Joseph Sarno production - and although I will say it is far more enjoyable than the painfully dull and unerotic Swedish WILDCATS , it is still a little"
3,RPS-$l_2$,Positive 3,4000,1,"So , Todd Sheets once stated that he considers his 1993 , shot - on - video Z - epic , Zombie Bloodbath to be his first feature film . Anyone who 's ever seen a little beauty called Zombie Rampage kno"
1,Influence function,Positive 1,2394,0,A memorable line from a short lived show . After viewing the episode where that line was introduced my fraternity intramural flag football team started using the line to break our huddles on offense .
2,Influence function,Positive 2,14109,1,"I can tell you just how bad this movie is . I was in the movie and I have n't seen it yet , but I cringe at the thought of anyone actually paying to see me drunk . Especially considering what we did t"
3,Influence function,Positive 3,2300,1,"I am one of Jehovah 's Witnesses and I also work in an acute care medical facility . Over the years I have seen people die from hemolytic reactions to blood transfusions , have attended numerous confe"
0, ,Test point,13147,0,"The movie starts with a Spiderman spoof which is your introduction to Rick Riker ( played by Drake Bell of "" Drake & Josh "" fame , personally I 'd have given the movie to Josh who is much funnier ) an"
1,RPS-LJE,Positive 1,172,0,"The day has finally come for me to witness the perpetuation of Azumi 's fate as an assassin , fruition of her character and the ultimate attempt to draw me deeper into the world she rampaged through s"
2,RPS-LJE,Positive 2,16133,0,"The Wicker Man , starring Nicolas Cage , is by no means a good movie , but I ca n't really say it 's one I regret watching . I could go on and on about the negative aspects of the movie , like the ter"
3,RPS-LJE,Positive 3,11928,0,"The Lives of the Saints starts off with an atmospheric vision of London as a bustling city of busy , quaint streets and sunshine . I was hoping it would maintain this atmosphere , but it gets bogged d"
1,RPS-$l_2$,Positive 1,4801,0,"A so common horror story about a luxury building at Brooklyn which hides the gates to hell . It is reminiscent of Polanski 's "" The Tenant "" ( released a year before "" The sentinel "" ) , but is too fa"
2,RPS-$l_2$,Positive 2,11015,0,"The thing that stands out in my mind in this film ( sadly ) is the introduction , where John Berlin ( Andy Garcia ) is driving into town . You see his Mercedes pass on a winding road through a forest "
3,RPS-$l_2$,Positive 3,12446,0,"Taped this late night movie when I was in grade 11 , watched it on fast forward . I sugest you do the same . I though it would be and action film , but went to a cort tv type movie . In the end it fit"
1,Influence function,Positive 1,172,0,"The day has finally come for me to witness the perpetuation of Azumi 's fate as an assassin , fruition of her character and the ultimate attempt to draw me deeper into the world she rampaged through s"
2,Influence function,Positive 2,16133,0,"The Wicker Man , starring Nicolas Cage , is by no means a good movie , but I ca n't really say it 's one I regret watching . I could go on and on about the negative aspects of the movie , like the ter"
3,Influence function,Positive 3,8208,0,"For all its visual delights , how much better Renaissance would have been in live action . The animation is fantastic in the big picture , yes , but the characters are cold and hollow , much like the "
0, ,Test point,13087,0,I really tried to like this film about a doctor who has the possibility of a new life with a young woman if he can comes to terms with the death of his wife . I suppose this was to play like a quirky 
1,RPS-LJE,Positive 1,3064,0,I 'm sorry but I did n't like this doc very much . I can think of a million ways it could have been better . The people who made it obviously do n't have much imagination . The interviews are n't very
2,RPS-LJE,Positive 2,4622,0,"I have to be completely honest in saying first that I fell asleep somewhere in the middle , so I can not give a full opinion about the film until I see it in full . Basically , a group of thieves , in"
3,RPS-LJE,Positive 3,9777,0,I recently viewed Manufactured Landscapes at the Seattle International Film Festival . I was drawn to the movie as a photographer because I 'm both familiar and a fan of Burtynsky 's work . While I be
1,RPS-$l_2$,Positive 1,4801,0,"A so common horror story about a luxury building at Brooklyn which hides the gates to hell . It is reminiscent of Polanski 's "" The Tenant "" ( released a year before "" The sentinel "" ) , but is too fa"
2,RPS-$l_2$,Positive 2,11015,0,"The thing that stands out in my mind in this film ( sadly ) is the introduction , where John Berlin ( Andy Garcia ) is driving into town . You see his Mercedes pass on a winding road through a forest "
3,RPS-$l_2$,Positive 3,12446,0,"Taped this late night movie when I was in grade 11 , watched it on fast forward . I sugest you do the same . I though it would be and action film , but went to a cort tv type movie . In the end it fit"
1,Influence function,Positive 1,3064,0,I 'm sorry but I did n't like this doc very much . I can think of a million ways it could have been better . The people who made it obviously do n't have much imagination . The interviews are n't very
2,Influence function,Positive 2,4622,0,"I have to be completely honest in saying first that I fell asleep somewhere in the middle , so I can not give a full opinion about the film until I see it in full . Basically , a group of thieves , in"
3,Influence function,Positive 3,16805,1,"After viewing several episodes of this series , I have come to the conclusion that television producers are completely devoid of any form of originality . Here is an old science fiction standby , inge"
